thai,phonetic,register,definition,note
เจอกันได้ยังไงคะ,jəə gan dâi yang-ngai ká ,,How did you (two) meet?,
เรื่องจิ๊บๆ,rʉ̂ang jíp-jíp,,It’s no biggie. / It’s no big deal. / It’s really easy. / It’s a piece of cake.,
พ่อแม่เสียหมดแล้ว,pɔ̂ɔ-mɛ̂ɛ sǐa mòt lɛ́ɛo ,,His parents passed away. / She lost both of her parents.,
แก่กว่าฉันอีก,gɛ̀ɛ-gwàa chǎn ìik (,INFORMAL,He)’s older than me. / (He)’s even older than I am.,
ไม่ได้เจอมาเป็น(เดือน)แล้ว,mâi-dâi jəə maa bpen (dʉan) lɛ́ɛo ,,I haven’t seen one/him for (a month). / It’s been (a month) since I’ve seen one/him.,
ผู้ที่ได้รับผลกระทบ(จาก,-19) pûu tîi dâi-ráp-pǒn-grà-tóp (jàak koo-wít síp-gâao),COVID,Those affected/impacted (by Covid-19).,
ได้รับผลกระทบไหม(ครับ),dâi-ráp-pǒn-grà-tóp mǎi (kráp) ,,Where you impacted/affected?,
คุณเป็นเจ้าของที่นี่หรือ,kun bpen jâo-kɔ̌ɔng tîi-nîi rʉ̌ʉ,,Do you own this place? / Are you the owner of this place? / Are you the owner?,
ไม่สบายรึเปล่า,mâi-sà-baai rʉ́-bplàao,,Are you sick (or what)? / Is she okay?,
คุณไม่เคยสนใจฉัน,kun mâi-kəəi sǒn-jai chǎn ,,You never pay any attention to me. / You never show any interest in me.,
อีกสักพักจะกลับ(แล้ว),ìik-sàk-pák jà glàp (lɛ́ɛo) (,,"I)’m gonna go back (home) in a bit. / In a bit, (I)’m gonna go back.",
ต้องเก็บรักษาไว้ให้ดี,dtɔ̂ng gèp-rák-sǎa wái hâi-dii ,,"You have to take good care of it. (an old antique, a password, etc.)",
คงไม่ใช่แล้ว(ล่ะ),kong mâi-châi lɛ́ɛo (lâ) ,,Probably not. / I guess not. / Not anymore. (said when something turns out differently than one had expected),
อายุเยอะแล้ว,aa-yú yə́ lɛ́ɛo,,(He)’s old (already).,
เมื่อไหร่จะเลิกเรียกผมว่า(ลุง)(ซักที),mʉ̂a-rài jà lə̂ək rîak pǒm wâa (lung) (sák-tii),MILDLY IRRITATED,When are you gonna stop calling me ‘Uncle’?!,
ผม(ไป)พูดตอนไหน,pǒm (bpai) pûut dtɔɔn-nǎi ,IRRITATED/ROUGH,When did I say that?!,
เชิญด้านในได้เลยค่ะ,chəən dâan-nǎi dâi ləəi kà ,FORMAL,Come in and have a look. / Welcome—have a look inside.,
(ราคา)ถูกเหลือเชื่อ,(raa-kaa) tùuk lʉ̌a-chʉ̂a ,,It’s incredibly cheap! / The price is unbelievably low!,
จะหาเงินจากไหน,jà hǎa ngən jàak nǎi ,INFORMAL,Where am I gonna get the money?!,
ผมทำงานอยู่ต่างจังหวัด,pǒm tam-ngaan yùu dtàang-jang-wàt ,,I work in another province.,
