thai,phonetic,register,definition,note
คืองี้,... kʉʉ-ngíi...,,It’s like this… / Look… / This is how it is… / Here’s the thing… (said before explaining something), งี้ (ngíi) is a very abbreviated form of อย่างนี้ (yàang-níi).
มีอะไรให้(คุณ)ดู,mii à-rai hâi (kun) duu ,,I have something to show you. / I wanna show you something.,
ผมก็ว่าอย่างนั้น(แหละ),pǒm gɔ̂ɔ wâa yàang-nán (lɛ̀) ,,That’s what I thought. / I thought so.,
กลับกลายเป็นว่า,... glàp glaai-bpen wâa...,,It turns/turned out that…,
ผมสังหรณ์ใจว่า,... pǒm sǎng-hɔ̌ɔn-jai wâa...,,I have a (bad) feeling (that)… / I have a hunch that…,
(แล้ว)ผมก็คิดได้ว่า,... (lɛ́ɛo) pǒm gɔ̂ɔ kít-dâi wâa...,,(And then) I realized…,
นานแสนนาน,naan-sɛ̌ɛn-naan ,LITERARY,For such a long time / For so long,
พูดดีๆ(ก็ได้),pûut dii-dii (gɔ̂ɔ-dâi) ,,"Speak nicely, please. / Can’t you be polite (and speak nicely)?",
ทำได้ดีมาก,tam-dâi-dii mâak,,Good work! / Nice job! / Well done!,
มันดูไม่ค่อย(ดี),man duu mâi-kɔ̂i (dii) ,,It doesn’t look so (good).,
อย่าส่งเสียงดัง,yàa sòng-sǐang-dang,,Don’t be noisy. / Keep quiet. / Quit making (all that) noise.,
ทำไมทำหน้าแบบนั้น,tam-mai tam-nâa bɛ̀ɛp-nán ,,Why are you making that face? / Why are you making a face like that?,
ทำไมเพิ่งบอก,tam-mai pə̂ng bɔ̀ɔk,,Why are you just telling me now?! / Why did you wait until now to tell me?!,
มาหาฉันหน่อย,maa-hǎa chǎn nɔ̀i,,Come see me.,
ทำไมยังไม่มาอีก,tam-mai yang mâi maa ìik ,,Why hasn’t he come yet?! / Why isn’t he here yet?!,
จัดการเรียบร้อย,jàt-gaan rîap-rɔ́ɔi ,SEMI-FORMAL,It’s all taken care of. / I took care of it already. / It’s all done.,
ไว้ค่อยคุยกันนะ,wái kɔ̂i kui gan ná,,Let’s talk (about it) later. / Talk to you later.,
ไว้คุยกัน(พรุ่งนี้),wái kui gan (prûng-níi) ,,Let’s talk about it (tomorrow). / We can talk about it (tomorrow).,
(ไอ้)เด็กเวร,(âi) dèk-ween ,VULGAR,You little shit! / You punk! / You little bastard!,
(คุณ)เจอดีแน่,(kun) jəə-dii nɛ̂ɛ,STRONG,You’re gonna get it! / Your ass is grass! / You’ll be in deep shit!,
