thai,phonetic,register,definition,note
ฉันช่วยถือ,chǎn chûai tʉ̌ʉ,,I’ll carry that for you. / I’ll hold that for you. / I’ll help you carry that.,
เป็นผัวเมียกัน,bpen pǔa mia gan,,They’re married. / They’re husband and wife. / They’re a couple.,
เขาอาจตายได้,kǎo àat dtaai dâi,,He might die. / She could die.,
เธอไม่ได้มาด้วย,təə mâi-dâi maa dûai,,She didn’t come. / She didn’t come with me.,
รออีกสักหน่อยนะ(ครับ),rɔɔ ìik sàk-nɔ̀i ná (kráp) ,,Wait a bit more. / Wait a while longer.,
รออีกสักพักนะ(ครับ),rɔɔ ìik sàk-pák ná (kráp) ,,Wait a bit more. / Wait a while longer.,
รออีกสักสองสาม(วัน),rɔɔ ìik sàk sɔ̌ɔng-sǎam (wan) ,,Wait a few more (days).,
กลิ่น(มัน)แรงไปหน่อย,glìn (man) rɛɛng bpai nɔ̀i ,,The smell is (a bit) too strong. / It’s (a bit) overpowering.,
ผม(จะ)หยิบให้,pǒm (jà) yìp hâi ,,I’ll get it for you. / I’ll grab it for you. / I’ll get it.,
ขอทางหน่อย,kɔ̌ɔ-taang nɔ̀i ,,Excuse me… / Coming through. / Please move out of the way.,
อย่าเพิ่งเลย,yàa pə̂ng ləəi,,Not yet! / Not just yet! (Don’t do it yet.),
รอดมาได้,rɔ̂ɔt maa dâi,,I survived. / She’s still alive.,
เคยเจอมาแล้ว,kəəi jəə maa lɛ́ɛo,,I’ve met him before. OR I’ve had that happen before. / I’ve been through that.,
เราต้องรอให้,... rao dtɔ̂ng rɔɔ hâi...,,We have to wait for… / We have to wait until…,
เป็นไปได้,bpen-bpai dâi,,It’s possible. / That’s possible.,
อยู่นิ่งๆ,yùu nîng-nîng,,Stay still! / Hold still!,
ไม่มีพยาน,mâi-mii pá-yaan,,There were no witnesses. / He hasn’t got any witnesses.,
เราต้องไปช่วยเขา,rao dtɔ̂ng bpai chûai kǎo ,,We have to (go) help him. / We have to help her out.,
ขอยืมเงินหน่อย,kɔ̌ɔ yʉʉm ngən nɔ̀i,,Can I borrow some money?,
หายโกรธหรือยัง,hǎai gròot rʉ̌ʉ-yang,,Are you still angry?,
