thai,phonetic,register,definition,note
เขารับกรรมแล้ว,kǎo ráp-gam lɛ́ɛo,,He paid the price. / He suffered the consequences. / He got what was coming to him. / He got his Karma. / He met his fate.,
เป็นคนเจ้าคิดเจ้าแค้น,bpen kon jâo-kít-jâo-kɛ́ɛn (,,She)’s very vindictive! / (She)’s revengeful. / (She) likes to hold grudges.,
(กินมาม่า)ตั้งแต่เล็กจนโต,(gin maa-mâa) dtâng-dtɛ̀ɛ lèk jon dtoo,SEMI-LITERARY,(I’ve eaten Mama) from the time I was a kid until now. / (I’ve eaten Mama) all my life. / (I’ve been eating Mama) since I was a kid.,
พวกเขาหนีหัวซุกหัวซุน,pûak-kǎo nǐi hǔa-súk-hǔa-sun ,SEMI-LITERARY,They ran away in a rush. / They ran away like rats. / They ran like hell.,
เปลืองน้ำลาย(เปล่าๆ),bplʉang nám-laai (bplàao-bplàao) (,,You)’re (just) wasting your breath!,
ดึก(ตื่น)ป่านนี้แล้ว(ยังไม่นอนอีกหรือ),dʉ̀k (dtʉ̀ʉn) bpàan-níi lɛ́ɛo (yang mâi nɔɔn ìik rʉ̌ʉ),,This late at night (and you still haven’t gone to bed)? / It’s late— (you’re still not in bed)?,
ขอบคุณที่อุตส่าห์มาหา,kɔ̀ɔp-kun tîi ùt-sàa maa hǎa ,,Thank you for coming all the way to see me. / Thank you for going to the trouble to meet me.,
เขาทำพิธีสะเดาะเคราะห์,kǎo tam pí-tii-sà-dɔ̀-krɔ́,,He had a ceremony to get rid of his bad luck.,
มันคุ้มค่าเหนื่อย,man kúm-kâa nʉ̀ai,,It’s worth the effort. / The wages are worth it.,
…แต่ไหนแต่ไรแล้ว,...dtɛ̀ɛ-nǎi-dtɛ̀ɛ-rai lɛ́ɛo,LITERARY,…from time immemorial. / … all along. / (It) always…,
…ต้องเจอแบบนี้แหละ,...dtɔ̂ng jəə bɛ̀ɛp-níi lɛ̀,,That’s what you get when you… / This is what you have to go through for…/(shows consequence from doing something bad),
ต้องยกประโยชน์ให้(จำเลย),dtɔ̂ng yók-bprà-yòot hâi (jam-ləəi) ,,You have to give (the defendant) the benefit of the doubt. (He might be lying but we have to accept what he says for now.),
ไม่รู้ว่าจะเป็นตายร้ายดีอย่างไร,mâi-rúu wâa jà bpen dtaai ráai dii yàang-rai,IDIOMATIC,I don’t know if he’s dead or alive.,
(กำลัง)ตกที่นั่งลำบาก,(gam-lang) dtòk tîi-nâng-lam-bàak,SEMI-LITERARY,(He)’s in big trouble. / (He)’s in deep shit. / (He)’s in a very difficult situation.,
รักษาเนื้อรักษาตัวดีๆ/ด้วย,rák-sǎa-nʉ̌a rák-sǎa-dtua dii-dii/,LITERARY,dûai/Take (good) care of yourself.,
(มัน)ยังไงกันเนี่ย,(man) yang-ngai gan nîa ,STRONG/IDIOMATIC,What the hell (is this)?! / What on earth (is this)?! / What the hell is going on?!,
ไม่เป็นอันกินอันนอน,mai-bpen-an-gin-an-nɔɔn (,LITERARY/IDIOMATIC,I) can’t eat at all or sleep a wink. (due to anxiety),
ปากกับใจไม่ตรงกัน,bpàak gàp jai mâi-dtrong-gan ,,What you say is not really how you feel. / Your words don’t match your feelings.,
ผม(มีส่วน)ผิดด้วย(เหมือนกัน),pǒm (mii sùan) pìt dûai (mʉ̌an-gan) ,,I’m at fault too. / It’s (partly) my fault too.,
ในเรื่องร้ายยังมีเรื่องดี,nai rʉ̂ang-ráai yang mii rʉ̂ang-dii ,IDIOM,Every cloud has a silver lining.,
