thai,phonetic,register,definition,note
รักคุณคนเดียว,rák kun kon-diao,,I only love you. / I love only you.,
(พรุ่งนี้)จะให้คำตอบ,(prûng-níi) jà hâi kam-dtɔ̀ɔp ,,I’ll give you an answer (tomorrow). / I’ll answer you (tomorrow).,
มันไม่ใช่ของจริง,man mâi-châi kɔ̌ɔng jing ,,It’s not real. / It wasn’t real.,
อย่าไปโกรธเขา,yàa bpai gròot kǎo,,Don’t be angry with him. / Don’t get mad at her.,
ไม่เคยทำมาก่อน,mâi-kəəi tam maa-gɔ̀ɔn,,(I)’ve never done it (before). / (You)’ve never done that before.,
เคยได้ยินไหม,kəəi dâi-yin mǎi,,Have you ever heard (…)?,
ยังไม่ได้คิด(เลย),yang mâi-dâi kít (ləəi) (,,I) haven’t thought about it yet.,
เขาไม่ค่อยฉลาด,kǎo mâi-kɔ̂i chà-làat,,He’s not so smart.,
ฉันอยากจะอยู่ต่อ,chǎn yàak jà yùu dtɔ̀ɔ,,I want to stay (longer). / I want to live here longer.,
อยู่นี่,yùu nîi,INFORMAL,It’s right here. / I’m right here.,
เขาไม่ใช่คนธรรมดา,kǎo mâi-châi kon tam-má-daa ,,He’s not an ordinary person. / He’s no ordinary guy. / He’s not normal.,
3 วันก่อน(…),2- sɔ̌ɔng sǎam wan gɔ̀ɔn (...) ,,A few day ago (…),
เข้าใจทุกอย่าง,kâo-jai túk-yàang,,(I) understand everything. / (I) understood everything.,
หนูอยากถาม(เขา)ว่า,... nǔu yàak tǎam (kǎo) wâa...,,I want to ask (him)…,
ผมตื่นขึ้นมา(กลางดึก),pǒm dtʉ̀ʉn-kʉ̂n maa (glaang-dʉ̀k) ,,I woke up (in the middle of the night).,
ดูแลตัวเองด้วย,duu-lɛɛ dtua-eeng dûai ,,Take care. / Take care of yourself.,
มีธุระด่วน,mii tú-rá dùan,,Something urgent came up. / I had some urgent business.,
ชอบที่นี่มาก(เลย),chɔ̂ɔp tîi-nîi mâak (ləəi) (,,I) love this place. / I really like it here.,
ฉันไม่ได้โกหก(คุณ),chǎn mâi-dâi goo-hòk (kun) ,,I didn’t lie (to you). / I’m not lying (to you).,
อ่านใจคุณได้,àan-jai kun dâi,,(I) can read your mind.,
