thai,phonetic,register,definition,note
กินรองท้อง(ก่อน),gin rɔɔng-tɔ́ɔng (gɔ̀ɔn),,Have a bite to eat. / Have a snack to tide you over.,
มันต่างกันอย่างไร,man dtàang-gan yàang-rai ,,How are they different? / What’s the difference?,
เพิ่งเจอกันวันแรก,pə̂ng jəə-gan wan rɛ̂ɛk (,,We) only just met today. / We just met each other today.,
(จัด)เรียงตามตัวอักษร,(jat)-riang dtaam-dtua-àk-sɔ̌ɔn (,,It)’s arranged alphabetically. / (It)’s in alphabetical order.,
โปรดเมตตาด้วย,bpròot mêet-dtaa dûai ,LITERARY,Be merciful to me! / Please have mercy!,
ไม่เหลือใครแล้ว,mâi-lʉ̌a krai lɛ́ɛo,,I have no one left! (I’m all alone now.),
ปาฏิหาริย์มีจริง,bpaa-dtì-hǎan mii jing ,,Miracles happen. / Miracles are for real.,
มันยังน้อยไป,man yang nɔ́ɔi bpai,,That’s an understatement! / It’s not enough!,
ต้องโดนตี,dtɔ̂ng doon dii,,(You) need to be spanked!,
รู้แต่ว่า,... rúu dtɛ̀ɛ wâa...,,All I know is… / I only know that…,
ฉันได้ยินเขาพูดว่า,... chǎn dâi-yin kǎo pûut wâa...,,I heard her say (that)…,
ถ้า(เขา)เป็นอะไรไป,... tâa (kǎo) bpen à-rai bpai...,,If something happens to him… / If something happened to him… / If anything should happen to her…,
เห็นด้วยหรือไม่เห็นด้วยกับ,... hěn-dûai rʉ̌ʉ mâi-hěn-dûai gàp...,,Agree or disagree with…,
ยังสามารถใช้,...  yang sǎa-mâat chái...,FORMAL,(You) can also use (it with)…,
เขาไม่เคยลืมเลย,kǎo mâi-kəəi lʉʉm ləəi ,,He’s never forgotten. / He never forgets.,
เงียบจังเลย ไปไหนกันหมด,ngîap jang ləəi bpai-nǎi gan mòt ,,It’s so quiet—where is everyone?!,
(แล้ว)จะเอา(ยัง)ไงต่อ,(lɛ́ɛo) jà ao (yang) ngai dtɔ̀ɔ,,What are you gonna do next?,
(มันร้อน)เหมือนจะระเบิด,(man rɔ́ɔn) mʉ̌an jà rá-bə̀ət (,,I’m so hot I feel) like I’m gonna explode.,
ใครๆก็เรียกว่า(ลุง),krai-krai gɔ̂ɔ rîak wâa (lung) ,,Everyone calls him (‘Uncle’).,
แน่นอนอยู่แล้ว,nɛ̂ɛ-nɔɔn yùu lɛ́ɛo,,Absolutely! / Of course!,
