thai,phonetic,register,definition,note
ต้องตัดไฟแต่ต้นลม,dtɔ̂ng dtàt-fai dtɛ̀ɛ dtôn-lom,IDIOM,We have to nip it in the bud. / I have to stop it before it gets out of control. //I gotta eliminate the threat.,
ฉลาดเป็นกรด,chà-làat bpen gròt ,IDIOMATIC,He’s very clever. / She’s very sharp.,
ไม่รู้จักเข็ด,mâi rúu-jàk kèt ,,He hasn’t learned his lesson!,
ยอมตายแทนกันได้,yɔɔm dtaai tɛɛn gan dâi ,,I’d be willing to die in her place. / I would die for him.,
ผมเหนื่อยสายตัวแทบขาด,pǒm nʉ̀ai sǎai-dtua tɛ̂ɛp kàat ,,I’m dog tired. / I’m absolutely exhausted. (from working hard without a break), สายตัว (sǎai-dtua) means ‘tendon’ or ‘sinew’.
ต้องคิดหน้าคิดหลังให้ดี,dtɔ̂ng kít nâa kít lǎng hâi-dii ,IDIOMATIC,You have to think about things carefully. (don’t do things rashly but think carefully),
มันหายวับไปกับตา,man hǎai wáp bpai gàp dtaa ,IDIOMATIC,It vanished before his very eyes! / It disappeared like magic!,
มันยังไงกันแน่/มันยังไงกันวะ,man yang-ngai gan nɛ̂ɛ / man yang-ngai gan wá,IDIOMATIC/INFORMAL/STRONG,What’s goin’ on?! / What’s that all about?! / What the hell’s going on?!,
…ไม่ไกลเกินฝัน,...mâi glai gəən fǎn,LITERARY,…is within reach. / …is attainable. / …isn’t beyond your dream.,
รู้ตัวอีกที,...  rúu-dtua ìik-tii...,IDIOMATIC,Before (you) know it… / The next thing you know…,
ผมรวบรวมความกล้าที่จะ,... pǒm rûap-ruam kwaam-glâa tîi-jà...,,I gathered up the courage to…,
ขออโหสิกรรม(... ),kɔ̌ɔ à-hǒo-sì-gam(…) ,LITERARY/RELIGIOUS,Please forgive me. / I apologize (for)… (for wrongdoing or sin),
ผมไม่มีกะจิตกะใจ(จะ)ทำอะไร,pǒm mâi-mii gà-jìt-gà-jai (jà) tam à-rai,LITERARY/IDIOMATIC,I don’t feel like doing anything. / I don’t have the motivation to do anything./(feeling listless or down),
เขารับช่วงต่อ(กิจการของพ่อ),kǎo ráp-chûang-dtɔ̀ɔ (gìt-jà-gaan kɔ̌ɔng pɔ̂ɔ) ,,He’s taking over (his father’s business). / He’s the successor to (his father’s business).,
ฉันรู้ก็แล้วกัน,chǎn rúu gɔ̂ɔ-lɛ́ɛo-gan ,,I just know. / Let’s just say I know.,
กิ่งทองใบหยก,gìng-tɔɔng-bai-yòk ,IDIOM,A match made in heaven! / They’re so compatible! (said of a married couple), กิ่งทอง (gìng-tɔɔng) is ‘gold branch’ and ใบหยก (bai-yòk) is ‘jade leaf’.
รู้หน้าไม่รู้ใจ,rúu nâa mâi-rúu jai ,IDIOMATIC,"You know him, but you don’t really know what’s in his heart/mind.",
ยิ่ง(หนีความจริง)เท่าไหร่ก็ยิ่ง(เจ็บมาก)เท่านั้น,yîng (nǐi kwaam-jing) tâo-rài gɔ̂ɔ yîng (jèp mâak) tâo-nán,,"The more (I run from the truth), the more (hurt I get).",
ห้ามโน่นห้ามนี่,hâam nôon hâam nîi ,IDIOMATIC,Don't do this! Don't do that!,
เปลี่ยนจากหน้ามือเป็นหลังมือ,bplìan jàak nâa-mʉʉ bpen lǎng mʉʉ,IDIOM,(She’s) changed completely. / (She’s) changed 180 degrees. / She’s made a complete turnaround.,
