thai,phonetic,register,definition,note
เห็นข่าวรึยัง,hěn kàao rʉ́-yang,,Did you see the news? / Have you heard the news?,
ข่าวอะไร,kàao à-rai,,What news?,
ต้องอดทน,dtɔ̂ng òt-ton,,(You) have to be patient/endure it/bear with it/hang on.,
คุณจะชินไปเอง,kun jà chin bpai-eeng ,,You’ll get used to it.,
เอามานี่,ao maa nîi,INFORMAL,Gimme that! / Give it to me.,
มองอะไร,mɔɔng à-rai,STRONG,What are looking at?! (=Why are you looking at me?),
ฉันอยากได้จริงๆ,chǎn yàak dâi jing-jing ,,I really want (it)!,
คุณไม่รู้หรอกหรือ,kun mâi-rúu rɔ̀ɔk rʉ̌ʉ,,You didn’t know (that)? / Don’t you know?!,
ก็ดี(นะ)(ครับ),gɔ̂ɔ dii (ná) (kráp) ,,Good. / Fine. (answering),
)คบอยู่กับ,(,,X(Y) (X) kóp yùu gàp (Y) X is dating Y. / X is going out with Y.,
(คน)จากทั่วประเทศ,(kon) jàak tûa bprà-têet (,,People) from all over the country. / (People) nationwide.,
ไปเยี่ยมเพื่อนเก่า,bpai yîam pʉ̂an gào (,,I) went to visit an old friend.,
เป็นเรื่องเกี่ยวกับ,... bpen rʉ̂ang gìao-gàp...,,It’s about… / It’s a story about…,
ฉันไม่ไหว(หรอก),chǎn mâi-wǎi (rɔ̀ɔk) ,,I can’t do it. / I can’t handle it. (=it’s too much for me),
(ผม)กำลังขับรถกลับบ้าน,(pǒm) gam-lang kàp-rót glàp-bâan (,,I)’m driving home. / (I) was driving home. / (I)’m on my way home.,
(ผม)ไม่ใช่คนเลว,(pǒm) mâi-châi kon leeo,,(I)’m not a bad person.,
ผมมั่นใจว่า,... pǒm mân-jai wâa...,,I’m sure (that)… / I’m confident (that)…,
ไม่อยากให้ใครรู้,mâi yàak hâi krai rúu (,,I) don’t want anyone to know.,
ลองอ่านดู(สิ),lɔɔng àan duu (sì) ,,Read it. / Check it out. / Have a look.,
ขอฉันไปด้วย,kɔ̌ɔ chǎn bpai dûai,,Can I go with you (please)? / Can I go along?,
