thai,phonetic,register,definition,note
มันไม่ใช่ตัวฉัน,man mâi-châi dtua chǎn ,,"It’s not me. / It’s not like me. (not my style, etc.)",
ปัญหาก็คือ... / ปัญหาอยู่ที่,... bpan-hǎa gɔ̂ɔ kʉʉ... / bpan-hǎa yùu-tîi...,,The problem is...,
ออกไปห่างๆ ผม,ɔɔ̀k-bpai hàang-hàang pǒm ,CRUDE/ROUGH,Stay (the hell) away from me! / Get away from me!,
…และอื่นๆ อีกมากมาย,...lɛ́-ʉ̀ʉn-ʉ̀ʉn ìik-mâak-maai,,…and so on. / …and many more. / …and more others.,
(แต่)อย่างที่บอก,... (dtɛ̀ɛ) yàang-tîi-bɔ̀ɔk...,,(But) as I said… / (But) like I said…,
จากวันนี้ไป,...  jàak wan-níi bpai...,SEMI-FORMAL/LITERARY,From this day on(wards)… / Starting from today…,
มันไม่ใช่เรื่อง(แพ้)หรือ(ชนะ)แต่เป็นเรื่องของ,... man mâi-châi rʉ̂ang (pɛ́ɛ) rʉ̌ʉ (chá-ná) dtɛ̀ɛ bpen rʉ̂ang kɔ̌ɔng...,,It’s not about (winning) or (losing). (But) it’s about…,
มีอีกวิธีหนึ่ง(... ),mii ìik wí-tii nʉ̀ng(…) ,,There’s another way (…),
(ต้องระวัง)มากเป็นพิเศษ,(dtɔ̂ng rá-wang) mâak-bpen-pí-sèet (,,You have to be) extra (careful) / especially (careful) / super (careful),
เหตุผลเดียวที่,... hèet-pǒn diao tîi...,,The only reason that…,
ยิ่งดีใหญ่,yîng-dii-yài,,Even better! / That’s even better. / That would be even better.,
จะเป็น(อะ)ไรไหมถ้าฉัน,... jà bpen (à)rai mǎi tâa chǎn...,,Would it be okay if I… ? / Do you mind if I… ?,
ใครเป็นคนสั่ง(ให้... ),krai bpen kon sòng (hâi...) ,,Who gave the order? / Who sent (him)? / Who told him to…,
จะไม่มีอะไรเปลี่ยนแปลง,jà mâi mii à-rai bplìan-bplɛɛng ,,Nothing will change. / Nothing’s changing.,
ผมขอสารภาพว่า,...  pǒm kɔ̌ɔ sǎa-rá-pâap wâa...,FORMAL/LITERARY,I confess (that)…,
แค่อยากรู้ว่า,... kɛ̂ɛ yàak rúu wâa...,,(I) just wanna know…,
กำลังจะหมดอายุ,gam-lang jà mòt-aa-yú,,It’s about to expire. / It’s going to expire soon.,
คุณสัญญา(แล้ว)ว่าจะเลิก,kun sǎn-yaa (lɛ́ɛo) wâa jà lə̂ək ,,You promised you would (quit). / You promised you were going to (quit).,
ฉันอยากรู้ทุกอย่างเกี่ยวกับ(เขา),chǎn yàak rúu túk-yàang gìao-gàp (kǎo) ,,I want to know everything about (him).,
มันหมายความว่า(ยัง)ไง,man mǎai-kwaam wâa (yang) ngai ,INFORMAL,What does it/that mean?,
