thai,phonetic,register,definition,note
ขออะไรอย่าง(หนึ่ง)ได้ไหม,kɔ̌ɔ à-rai yàang (nʉ̀ng) dâi-mǎi ,,Can (I) ask you a favor? / Will you do something for (me)?,
มีอะไร(จะพูด)ก็พูดมา(สิ),mii à-rai (jà pûut) gɔ̂ɔ pûut maa (sì) ,INFORMAL,"If you have something to say, (just) say it.",
ผมต่างหากที่ต้องขอบคุณคุณ,pǒm dtàang-hàak tîi dtɔ̂ng kɔ̀ɔp-kun kun ,,I should be the one thanking you. / I should be doing the thanking.,
เราเข้าใจตรงกัน,rao kâo-jai dtrong-gan ,,We’re in agreement. / We’re on the same page. / We have an understanding.,
ไม่เห็นเป็นไรเลย,mâi hěn bpen-rai ləəi ,INFORMAL,"No, it’s okay. / It’s alright. / It’s fine. (=It’s not a problem or big deal.)", ไร (rai) is a shortened form of อะไร (à-rai).
คืออย่างนี้,... kʉʉ yàang-níi,,It’s like this… / I mean… (used when explaining something),
คืองี้,...  kʉʉ ngíi ,INFORMAL,It’s like this… / I mean… (used when explaining something),
คนสมัยนี้,... kon sà-mǎi níi...,,People nowadays… / People today… / People these days…,
ถ้ามีอะไรผิดปกติ,... tâa mii à-rai pìt-bpòk-gà-dtì...,,If there’s anything unusual… / If something goes wrong… / If anything is out of the ordinary…, ปกติ (bpàk-gà-dtì) is an alternative pronunciation.
มัน(จะ)เกิดขึ้นไม่ได้,man (jà) gə̀ət-kʉ̂n mâi-dâi ,,That can’t happen. / That’s never gonna happen.,
เป็นอย่างที่คุณคิด,bpen yàang-tîi kun kít,,It was just like you said.,
เอาไปไหน,ao bpai-nǎi,,Where are you going with that? / Where are you taking that?,
โคตรเจ๋งเลย,kôot jěng ləəi ,INFORMAL/MAINLY TEENAGE,Totally awesome! / Freakin’ cool man!,
เราจะ(แกล้ง)ทำเป็นไม่รู้จักกัน,rao jà (glɛ̂ɛng) tam-bpen mâi-rúu-jàk gan ,,We’ll pretend we don’t know each other.,
แกรู้มั้ยว่าทำอะไรลงไป,gɛɛ rúu mái wâa tam à-rai long bpai ,,Do you know what you’ve done?!,
ชักช้าจริง,chák-cháa jing,,(You)’re so slow! (hurry!) / (He)’s driving so slow! (hurry up!),
คุณคิดจะทำอะไร,kun kít jà tam à-rai,,What do you think you’re doing?!,
เขาถูกปฏิเสธ,kǎo tùuk bpà-dtì-sèet ,,He was rejected. / She was denied. / She was turned down.,
ฉันไม่ได้คิดอะไรกับเขา,chǎn mâi-dâi kít à-rai gàp kǎo ,,I don’t have feelings for him. / I don’t have a thing for him.,
มันเป็นจริงอย่างที่(ผม)คิด,man bpen-jing yàang-tîi (pǒm) kít ,,It’s just like/as (I) thought.,
