thai,phonetic,register,definition,note
มีแต่ได้กับได้,mii dtɛ̀ɛ dâi gàp dâi,,It’s a win-win (situation).,
คิดเอาเองสิ,kít ao eeng sì,,Figure it out! / Think about it yourself.,
ต่างกับฉัน,dtàang gàp chǎn,,Different from me. / Not the same as me. / Unlike me.,
ไม่อยากเห็นหน้าคุณอีก,mâi-yàak hěn nâa kun ìik ,VERY STRONG,I don’t wanna see you anymore!,
ผมพูดมาตลอด(... ),pǒm pûut maa dtà-lɔ̀ɔt(...) ,,I’ve always said… / I’ve been saying (that) all along.,
จริงอยู่ว่า,... jing yùu wâa...,,"True, … / It’s true…",
คุณใช้(มัน)เป็นข้ออ้าง,kun chái (man) bpen kɔ̂ɔ-âang ,,You’re using (it) as an excuse.,
สวยวัวตายควายล้ม / หล่อวัวตายควายล้ม,sǔai wua dtaai kwaai lóm / lɔ̀ɔ wua dtaai kwaai lóm,IDIOM,Drop dead gorgeous! / Super handsome or beautiful., The literal meaning is that cows would die and water buffalos would fall over due to one’s good looks.
โป๊ะเชะ,bpó-ché ,SLANG,Nailed it! / Bingo! / Jackpot!,
คุณตัดสินใจถูกแล้ว,kun dtàt-sǐn-jai tùuk lɛ́ɛo ,,You made the right choice.,
สู้ตาย,sûu-dtaai,SLANG,Fight to the death. / Let’s do it! / Let’s do this!,
อะไรทำให้คุณคิดว่า,... à-rai tam-hâi kun kít wâa...,,What makes you think… ?,
ทำอะไรไม่ได้นอกจาก,... tam à-rai mâi-dâi nɔ̂ɔk-jàak...,,(I) can’t do anything other than…/but…/except…,
ไม่ใช่ซะหน่อย,mâi-châi sá-nɔ̀i,,"No, that’s not it! / No, it’s not! / That’s not true at all!",
ฉันหาข้อมูลมาแล้ว,chǎn hǎa kɔ̂ɔ-muun maa lɛ́ɛo ,,I already checked it out/researched it.,
เพราะอย่างนี้,...  prɔ́-yàang-níi...,SEMI-FORMAL,That’s why… / That’s the reason why…,
ดูจากสีหน้า,... duu jàak sǐi-nâa...,,Judging from the look on (your) face… / (I can tell) from the look on (your) face…,
ให้คำตอบไม่ได้,hâi kam-dtɔ̀ɔp mâi-dâi (,,I) can’t answer that. / (I) don’t have an answer for that. / (I) can’t give an answer.,
แกจะไปรู้ได้ยังไง,gɛɛ jà bpai rúu dâi yang-ngai ,STRONG,How the hell would you know?! / How could you possibly know?!,
ไม่มีอะไรน่าเป็นห่วง,mâi mii à-rai nâa-bpen-hùang (,,There’s) nothing to worry about. / It’s nothing to worry about.,
