thai,phonetic,register,definition,note
พอได้แล้ว,pɔɔ dâi lɛ́ɛo,,That’s enough! (stop it!) / Enough! / Break it up! / Knock it off!,
เลิกคิดได้แล้ว,lə̂ək kít dâi lɛ́ɛo,,Quit thinking about it! / Get it out of your head!,
ไม่ต้องโกหก,mâi dtɔ̂ng goo-hòk,,You don’t have to lie. / Don’t lie (to me).,
อย่าทำอะไรผม(เลย),yàa tam à-rai pǒm (ləəi,,Don’t hurt me. / Don’t do anything to me.,
ระวังไว้ให้ดี(เถอะ),rá-wang wái hâi dii tə̀,,Watch your back. / Be very careful. / Look out.,
ถอยไป,tɔ̌ɔi bpai,,Get back! / Get away! / Back off! / Stay away from me!,
อยู่เฉยๆ,yùu chə̌əi-chə̌əi,,Stay still. / Don’t move. / Stay right there. / Sit tight.,
เบาๆหน่อย,bao-bao nɔ̀i,,Softly! / Not so rough. / Easy! / Not so loud!,
อย่าดิ้น,yaa dîn,,Don’t move! / Don’t try to escape! / Don’t squirm!,
ปล่อยฉันเดี๋ยวนี้,bplɔ̀i chǎn dǐao-níi,,Let go of me (right now)!,
พูดมาซิ,pûut maa sí,,Tell me! / Say it!,
ไหนบอก(ว่า),... (nǎi bɔ̀ɔk (wâa)…),,"Hey, I thought you said…",
ฉิบหาย,chìp-hǎai,,Damn! / Shit!,
เวรกรรม,ween-gam,,"Damn! / Damn it! / Oh, crap! / What bad luck! (This also means karma or What goes around, comes around.)",
ทำไมมาช้าจัง,tam-mai maa cháa jang,,Why are you so late?,
ไม่น่าล่ะ / มิน่าล่ะ,mâi-nâa-lâ / mi-nâa-lâ,,No wonder… ! / No wonder! / It’s no wonder… ! / That’s why… !,
ไม่ใช่เด็กๆแล้วนะ,mâi-châi dèk-dèk lɛ́ɛo ná,,You’re not a kid/child (anymore)!,
ไม่ดีเหรอ,mâi-dii rə̌ə,,Is that (so) bad? / What’s wrong with that?,
ไม่คุ้มค่า,mâi kúm-kâa,,It’s not worth it.,
ปล่อยให้(มัน)เป็นไป,bplɔ̀i hâi (man) bpen-bpai,,Let it go. / Let it be. / So be it.,
