thai,phonetic,register,definition,note
หิวน้ำ,hǐu-náam,,I’m thirsty.,
หิวข้าว,hǐu-kâao,,I’m hungry.,
เหนื่อยจัง,nʉ̀ai jang,,I’m so tired.,
ง่วงแล้ว,ngûang lɛ́ɛo,,I’m sleepy.,
ผมเมามาก,pom mao mâak,,I’m really drunk.,
น่าอิจฉาจัง,nâa-ìt-chǎa jang,,I’m so jealous/envious!,
เปลี่ยนใจแล้ว,bplìan-jai lɛ́ɛo,,I changed my mind. / I’ve changed my mind.,
คิดถึงจังเลย,kít-tʉ̌ng jang ləəi,,I really miss you. / I really miss her.,
เที่ยวให้สนุก,tîao-hâi sà-nùk,,Have a good trip. / Enjoy your trip.,
รอด้วย,rɔɔ dûai,,Wait. / Wait for me. / Wait up.,
สุขสันต์วันเกิด(นะคะ),sùk-sǎn wan-gə̀ət (ná ká),,Happy Birthday!,
เชิญนั่ง(ก่อน)(ครับ),chəən nâng (gɔ̀ɔn) (kráp),,Have a seat.,
(มัน)อันตรายมาก,man an-dtà-raai mâak,,(It)’s very dangerous.,
อย่าทิ้งฉัน,yàa tíng chǎn,,Don’t leave me! / Don’t throw me away!,
เรียบร้อยแล้ว,rîap-rɔ́ɔi lɛ́ɛo,,It’s all done. / I’m finished.,
มันซับซ้อน,man sáp-sɔ́ɔn,,It’s complicated.,
ไม่มีอะไรเกิดขึ้น,mâi mii à-rai gə̀ət-kʉ̂n,,Nothing happened.,
(ก็)คิดอยู่,(gɔ̂ɔ) kít-yùu,,I’m thinking about it.,
(ฉัน)ดูไม่ออก,(chǎn) duu mâi-ɔ̀ɔk,,I can’t tell. / I can’t make out who it is. / I can’t make it out.,
ไม่เคยเจอกัน,mâi kəəi jəə-gan,,We’ve never met (before). / I’ve never met her (before).,
