thai,phonetic,register,definition,note
ให้ผมไปส่งนะ,hâi pǒm bpai sòng ná,,Let me give you a ride. / I’ll walk you there.,
ยังจำได้,yang jam dâi,,(I) still remember it. / (I) still remember him. / (I) still remember.,
มันไม่สำคัญ,man mâi sǎm-kan,,It’s not important.,
มาที่นี่ได้ยังไง,maa tîi-nîi dâi yang-ngai ,,What are you doing here?! / How did you get here?!,
ผมมีข้อเสนอให้คุณ,pǒm mii kɔ̂ɔ-sà-nə̌ə hâi kun ,,I have a proposition/proposal/suggestion for you.,
อย่าเพิ่งเปิด,yàa pə̂ng bpə̀ət,,Don’t open it! / Don’t open it yet!,
โทษที,tôot tii,INFORMAL,Sorry. / Excuse me.,
ยังไม่กล้าพอ,yang mâi glâa pɔɔ,,I don’t have the courage (yet). / I don’t have the guts (to…),
ล้อเล่นใช่มั้ย,lɔ́ɔ-lên châi-mái ,,"You’re joking, right? / Are you kidding me?",
ครั้งที่แล้ว,... kráng-tîi-lɛ́ɛo...,,(The) last time…,
ถ้าทำอย่างนั้น,... tâa tam yàang-nán...,,If you did that… / If he does that… / If you do…,
จะย้ายไปไหน,jà yáai bpai nǎi,,Where are you moving to?,
ไม่ค่อยชอบคนเยอะ,mâi-kɔ̂i chɔ̂ɔp kon yə́,,(I) don’t like crowds. / (I) don’t like crowded places.,
อาจจะนานไป(หน่อย),àat-jà naan bpai (nɔ̀i) ,,"It might be (a bit) too long. (to wait, to do something, etc.)",
ทำไมไม่ตอบ,tam-mai mâi dtɔ̀ɔp,,Why don’t you answer (me)? / Why aren’t you answering?,
ไปนอนพักผ่อน,bpai nɔɔn pák-pɔ̀n,,Get some rest. / Lie down and get some rest.,
คุณน่าจะดีใจ,kun nâa-jà dii-jai,,You outta be happy. / You should be glad.,
คล้ายกันมาก,kláai-gan mâak,,(They)’re very similar! / So similar!,
ดีขึ้นหรือยัง,dii-kʉ̂n rʉ̌ʉ-yang,,Are you better yet? / Are you feeling better?,
ห้ามบอกใคร,hâam bɔ̀ɔk krai,,Don’t tell anyone! / You’re not allowed to tell anybody.,
