thai,phonetic,register,definition,note
มันคงเป็นกรรมของฉัน,man kong bpen gam kɔ̌ɔng chǎn ,,It must be my fate/karma.,
ขอโทษแทนเขาด้วย(ครับ),kɔ̌ɔ-tôot tɛɛn kǎo dûai (kràp) ,,I apologize for her. / I apologize on her behalf.,
เขามอบตัวแล้ว,kǎo mɔ̂ɔp-dtua lɛ́ɛo,,He turned himself in. / He surrendered.,
ฉันจะไปตาม(หมอ),chǎn jà bpai dtaam (mɔ̌ɔ) ,,I’ll go and find (a doctor). / I’ll go and see if I can find (a doctor).,
เขาพลัดตกลงไปใน(คลองน้ำเสียชีวิต),kǎo plát dtòk-long bpai nai (klɔɔng-nám sǐa-chii-wít),,He slipped and fell into (the canal and died). / He tripped and fell into (the canal and died).,
หลบไป,lòp bpai ,STRONG,Move! / Get out of my way! / Move over!,
ลูกแม่,lûuk mɛ̂ɛ,,My son! / My boy! (from a mother’s perspective),
ลูกพ่อ,lûuk pɔ̂ɔ,,My son! / My boy! (from a father’s perspective),
ก้าวไปข้างหน้า,gâao bpai kâang-nâa,,Move forward. / Get ahead.,
จะเห็นได้ว่า,...  jà hěn dâi wâa...,SEMI-FORMAL,You can see (that)… / It can be seen (that)…,
เป็นวิธีเดียวที่จะ,... bpen wí-tii diao tîi-jà...,,It’s the only way to…,
มัน(ก็)คล้ายกับ,... man (gɔ̂ɔ) kláai-gàp...,,It’s similar to… / It’s like…,
ไม่ว่าจะทำอะไร,... mâi-wâa jà tam à-rai…,,No matter what (you) do…,
เราควรให้เวลา,... rao kuan hâi wee-laa,,We should give (her) some time…,
อดเป็นห่วง(เขา)ไม่ได้,òt bpen-hùang (kǎo) mâi-dâi ,,I can’t help but worry (about him). / I couldn't help worrying (about him).,
ฉันเป็นพยานได้,chǎn bpen pá-yaan dâi,,I can attest to that. / I witnessed it.,
ค่อยๆคุยกัน,kɔ̂i-kɔ̂i kui gan,,Let’s settle down and talk calmly. / Let’s talk it over calmly.,
ชอบแบบไหนมากกว่ากัน,chɔ̂ɔp bɛ̀ɛp-nǎi mâak-gwàa gan ,,Which one do you prefer? / Which style do you like better?,
ใครก็ได้ช่วยที,krai-gɔ̂ɔ-dâi chûai tii ,,Someone help me! / Help me—anyone!,
ผมเสียใจกับสิ่งที่เกิดขึ้น,pǒm sǐa-jai gàp sìng tîi gə̀ət-kʉ̂n ,,I’m sorry for what happened.,
