thai,phonetic,register,definition,note
โคตรเลว,kôot leeo (,INFORMAL/ROUGH,He)’s really bad/vile/terrible!,
(ก็)ไม่เห็นแปลก,(gɔ̂ɔ) mâi hěn bplɛ̀ɛk ,,That’s not surprising. / I’m not surprised. / I don’t think it’s so strange.,
มันช่างทรมาน(เหลือเกิน),man châng tɔɔ-rá-maan (lʉ̌a-gəən) ,,It’s (complete) torture! / It’s excruciating!,
ฉันว่าน่าจะดีกว่า,chǎn wâa nâa-jà dii-gwàa ,,I think it would be better. / I think it’s better.,
ทำไมรู้เรื่อง... เยอะจัง,tam-mai rúu-rʉ̂ang... yə́ jang ,,How do you know so much about… ?,
ถ้าไม่ลำบาก,tâa mâi lam-bàak ,,If it’s not too much trouble. / It’s it’s not an imposition.,
มันมีความหมายสำหรับผมมาก,man mii-kwaam-mǎai sǎm-ràp pǒm mâak ,,It means a lot to me.,
…มีอาชีพเป็น(ทนาย),...mii aa-chîip bpen (tá-naai),FORMAL,…is an (attorney). / …works as an (attorney).,
(เขา)ได้ย้ายไปยัง,... (kǎo) dâi yáai bpai yang...,,(He) moved to...,
ยังไม่รู้ตัวอีกเหรอ,yang mâi-rúu-dtua ìik rə̌ə,STRONG,Don’t you get it?! / Don’t you realize…?!,
เสียเงินไปตั้งเยอะ,sǐa ngən bpai dtâng yə́,,(I) spent a fortune! / (I) spent a lot of money!,
เดี๋ยว(ผม)ไปหยิบมาให้,dǐao (pǒm) bpai yìp maa hâi ,,I’ll go get it for you. / I’ll grab it for you.,
เธอมีใจให้แก,təə mii jai hâi gɛ̀ɛ,,She has feelings for you. / She likes you.,
กลับมาเดี๋ยวนี้,glàp maa dǐao-níi,,Get back here! / Come back (here)!,
เรียกร้องความสนใจ,rîak-rɔ́ɔng kwaam-sǒn-jai try to get attention / trying to get attention,,,
ไม่อยากให้มันเกิดขึ้น,mâi-yàak hâi man gə̀ət-kʉ̂n (,,I) don’t want it to happen.,
ถ้าเกิดว่า,... tâa gə̀ət wâa...,,What if… ? / If… ? / What happens if… ?,
ไม่อยากให้เป็นแบบนั้น,mâi-yàak hâi bpen bɛ̀ɛp-nán,,(I) wouldn’t want that. / (I) wouldn’t want it to be that way. / (I) wouldn’t want that to happen.,
(ฉัน)ลองทำทุกอย่างแล้ว,(chǎn) lɔɔng tam túk-yàang lɛ́ɛo ,,I tried everything.,
จะยากอะไร,jà yâak à-rai ,INFORMAL,How hard can it be?! / Was that so hard?!,
