thai,phonetic,register,definition,note
ทำให้เต็มที่(นะคะ),tam-hâi dtem-tîi (ná-ká) ,,Do your best! / Give it all you got!,
มาเริ่มเลยดีกว่า,maa rə̂əm ləəi dii-gwàa ,,Let’s get started.,
เลิกพูดเรื่อง,... lə̂ək pûut rʉ̂ang...,,Stop talking about… !,
ฟังฉันอยู่รึเปล่า,fang chǎn yùu rʉ́-bplàao ,,Are (you) listening to me?,
ไม่เกรงใจเลย,mâi greeng-jai ləəi,,(He)’s so inconsiderate! / (He) doesn’t think about others!,
ใกล้เวลาแล้ว,glâi wee-laa lɛ́ɛo,,It’s almost time. / The time is near.,
ใกล้เวลาที่,... glâi wee-laa tîi…,,It’s nearly time to… / It’s almost time to…,
ฉันปฏิเสธไม่ได้,chǎn bpà-dtì-sèet mâi-dâi ,,I couldn’t say no. / I couldn’t refuse.,
เขาไม่ได้ว่าอะไร,kǎo mâi-dâi wâa à-rai ,,He didn’t say anything.,
จำไม่ค่อยได้,jam mâi-kɔ̂i dâi,,(I) don’t remember it so well. / (I) can’t recall. / (I) don’t remember much (about it).,
หน้ายังเหมือนเดิม,nâa yang mʉ̌an-dəəm,,(You) still look the same! / (Your) face hasn’t changed at all.,
หนูเพิ่งจะเสร็จ(งานเอกสาร),nǔu pə̂ng-jà sèt (ngaan-èek-gà-sǎan) ,,I just finished (my paperwork).,
เห็นแก่เงิน,hěn-gɛ̀ɛ ngən (,,You) only care about money! / (You) are obsessed with money!,
อบอุ่นดี,òp-ùn dii,,(It)’s nice and warm. / (It’s) warm and cozy.,
ผมจะเข้าไปข้างใน(แล้ว),pǒm jà kâo-bpai kâang-nai (lɛ́ɛo) ,,I’m gonna go inside. / I’m going inside now.,
ตอบเขาว่ายังไง,dtɔ̀ɔp kǎo wâa yang-ngai ,,How did (you) answer her? / What did you tell her?,
ผม(ก็)บอกเขาว่า,... pǒm (gɔ̂ɔ) bɔ̀ɔk kǎo wâa…,,I told her…,
เป็นแผนที่ดีมาก,bpen pɛ̌ɛn tîi dii mâak ,,That’s a great plan!,
ฉลองกันเถอะ,chà-lɔ̌ɔng gan-tə̀,,Let’s celebrate!,
ไม่รู้จะทำอะไร,mâi-rúu jà tam à-rai,,(I) don’t know what to do.,
