thai,phonetic,register,definition,note
ทำง่าย,tam ngâai,,Easy to make!,
อร่อยจังเลย,à-rɔ̀i jang ləəi,,It’s delicious! / This is great!,
ไม่มีอะไรเหลือ,mâi mii àrai lʉ̌a,,There’s nothing left. / It’s all gone.,
ต้องอย่างนั้น(สิ),dtɔ̂ng yàang nán; dtɔ̂ng yàang nán sì,,Now you’re talking! / That’s it! / That’s what I’m talking about!,
ไม่มีทาง,mâi mii taang,,No way!,
ดูแลตัวเองดีๆนะ,duu-lɛɛ dtua-eeng dii-dii ná [kráp/ká],,Take good care of yourself. / Please take care.,
ไม่ชอบขี้หน้าเขา,mâi chɔ̂ɔp kîi-nâa kǎo,SLANG,I can’t stand him! / I hate the sight of him!,
สวยไม่ใช่เล่น,sǔai mâi châi lên,SLANG,She’s really beautiful! / She’s pretty darn good lookin’!,
คุณต้องการอะไร,kun dtɔ̂ng-gaan à-rai,,What do you want? / What do you need?,
ตัดใจไม่ได้,dtàt-jai mâi-dâi,,I can’t get over her. / I can’t forget her. / I can’t let her go. / I can’t stop thinking about her.,
ทำไมไม่บอก(ผม),tam-mai mâi bɔ̀ɔk; tam-mai mâi bɔ̀ɔk pǒm,,Why didn’t you tell me?,
เป็นครั้งแรกในชีวิต,bpen kráng-rɛ̂ɛk nai chii-wít,,It’s the first time in my life. / This is the first time (I’ve done this) in my life.,
จะเข้าห้องน้ำ,jà kâo hɔ̂ng-nám,INFORMAL,I’m gonna go to the bathroom/restroom.,
เอาไงดี,ao ngai dii,INFORMAL,Now what? / What should we do now?, ไง (ngai) is short for อย่างไร (yàang-rai)
คอยดูนะ,kɔɔi duu ná,,Wait and see! / You’ll see! / You watch…,
ตื่นแล้วเหรอ,dtʉ̀ʉn lɛ́ɛo rə̌ə,,"Oh, you’re awake? / You’re up? / Are you awake?",
ให้ตายเถอะ,hâi dtaai tə̀,INFORMAL,For God’s sake! / Damn it! / Bloody hell! / Shit!,
อย่าเพิ่ง/อย่าเพิ่ง,... (yàa pə̂ng / yàa pə̂ng…),,Don’t! / Don’t…. (do something yet),
อย่ามาขวาง,yàa maa kwǎang,INFORMAL/INSULTING,Get out of my way! / Don’t block my way!,
ใช้เวลาให้เป็นประโยชน์,chái wee-laa hâi bpen bprà-yòot,,Make good use of your time. / Spend your time wisely.,
