thai,phonetic,register,definition,note
นั่งที่ไหนดี,nâng tîi-nǎi dii,,Where shall we sit? / Where do you wanna sit?,
ทำไมกลับเร็วจัง,tam-mai glàp reo jang,,Why are you back so soon? / Why are you home so early? OR You’re leaving so soon?,
มีทางเดียว,mii taang-diao,,There’s only one way.,
มันไม่ปลอดภัย,man mâi bplɔ̀ɔt-pai,,It’s not safe.,
รางวัลที่ (1),raang-wan tîi (nʉ̀ng) (,,First) prize.,
ปวดตา,bpùat dtaa,,(My) eyes hurt. / (My) eyes are tired.,
ไม่เหงาเหรอ,mâi ngǎo rə̌ə,,Aren’t you lonely? / Don’t you get lonely?,
อย่าไปพูดถึง,... yàa bpai pûut-tʉ̌ng...,,Don’t talk about… ! / Don’t mention… !,
ตอนที่คุณไม่อยู่,... dtɔɔn-tîi kun mâi-yùu…,,When you were gone… / While you were gone… / When you were away…,
…ถ้าจำเป็นจริงๆ,...tâa jam-bpen jing-jing,,…if it’s really necessary. / …if you really need to.,
มันจำเป็นจริงๆ,man jam-bpen jing-jing ,,It’s really necessary. / It’s absolutely necessary. / I really must.,
น่าจะพอ,nâa-jà pɔɔ,,It should be enough. / That should suffice.,
นี้ไง,níi ngai,,Here it is! (I found it.),
จะไปทำไม,jà bpai tam-mai,,Why are you going to go (there)? / Why are you going?,
เขาจะคิดยังไง,kǎo jà kít yang-ngai,,What will she think (about it)?,
ผมจะไปเยี่ยมคุณ,pǒm jà bpai yîam kun,,I’ll visit you. / I’ll come visit you.,
ทำไม่ยาก,tam mâi yaak,,It’s not hard to make.,
ฉันอยากตาย,chǎn yàak dtaai,,I wanna die!,
ต้องทำงานหนัก,dtɔ̂ng tam-ngaan nàk,,I have to work hard. / He had to work hard.,
ไม่รู้จะขอบคุณยังไง,mâi-rúu jà kɔ̀ɔp-kun yang-ngai ,,I don’t know how to thank you.,
