thai,phonetic,register,definition,note
ผมเคยแอบชอบเธอ,pǒm kəəi ɛ̀ɛp-chɔ̂ɔp təə,,I used to have a crush on her., แอบปิ๊ง (ɛ̀ɛp-bpíng) is slang for ‘have a crush on someone’.
(หลง)รัก(เธอ)ตั้งแต่แรกเห็น,(lǒng) rák (təə) dtâng-dtɛ̀ɛ rɛ̂ɛk hěn,,(I) fell in love with (her) at first sight/the first time I saw (her).,
เขานอกใจฉัน,kǎo nɔ̂ɔk-jai chǎn,,He cheated on me.,
ต้องรู้ก่อนว่า,... (dtɔ̂ng rúu gɔ̀ɔn wâa...),,(I) (first) need to know… / (I) have to know…,
ฉัน(ก็)รู้สึกเหมือนกัน,chǎn (gɔ̂ɔ) rúu-sʉ̀k mʉ̌an-gan ,,I feel the same way.,
ไม่รู้เหมือนกัน,mâi-rúu mʉ̌an-gan,,I don’t know (either).,
ไม่ทราบเหมือนกันค่ะ,mâi-sâap mʉ̌an-gan kà,FORMAL,I don’t know (either).,
ไม่เก่งเท่าไหร่,mâi gèng tâo-rài,,"I’m not so good at… / I’m not very good. (used for skills, sports, languages, etc.)",
ประมาณว่า,...  (bprà-maan wâa...),INFORMAL,It’s like… / Like... (appear or seem like… / be like…),
ก็คงเป็น,... (gɔ̂ɔ kong bpen...),,"(Well), it’s probably/gotta be/must be…",
มีคำถามเกี่ยวกับ,... (mii kam-tǎam gìao-gàp...),,(I) have a question about…,
ใกล้จะจบแล้ว,glâi jà jòp lɛ́ɛo,,(We) are almost finished. / It’s almost over. / I’m graduating soon.,
เคล็ดลับคืออะไร,klét-láp kʉʉ à-rai,,What’s the trick/secret? (used for a special technique of doing something),
เคล็ดลับ(ก็)คือ,... klét-láp (gɔ̂ɔ) kʉʉ...,,The trick/secret is…,
ถ้ามีเวลาว่าง,... (tâa mii wee-laa-wâang...),,If (you) have free time…; If (you) are free/have spare time…,
ไม่ค่อยมีเวลา,mâi-kɔ̂i mii wee-laa,,(I) don’t have much time. / (I) didn’t have much time. / (I)’m pressed for time.,
(มัน)ไม่ใช่สิ่งสำคัญ,(man) mâi-châi sìng sǎm-kan ,,It’s not important. / It doesn’t matter. / It’s no biggie,
…ไม่สมบูรณ์แบบ,...mâi sǒm-buun-bɛ̀ɛp,,…isn’t perfect. / …is imperfect.,
(สวดมนต์)ก่อนนอนทุกคืน,(sùat-mon) gɔ̀ɔn nɔɔn túk-kʉʉn,,(He prays) every night before going to bed.,
เขาได้รับรางวัลออสการ์,kǎo dâi-ráp raang-wan-ɔ́ɔt-sà-gâa,,He won an Oscar.,
