id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	mentions_frozen	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1401671003176984580	1401671003176984580	2021-06-07 05:43:03 +07	2021-06-07	05:43:03	+0700	540625251	ptjasamarga	PT. JASAMARGA		05.12 WIB #Tol_Jagorawi Cipayung KM 08+900 - Cimanggis KM 17+200 DIBERLAKUKAN Contraflow di lajur kanan, agar tertib di antrian.	in	[]	[]	[]	[]	0	0	0	['tol_jagorawi']	[]	https://twitter.com/PTJASAMARGA/status/1401671003176984580	False		0		Jakarta						[]				
1401670993504923648	1401666738207350788	2021-06-07 05:43:01 +07	2021-06-07	05:43:01	+0700	1370531737281830912	herman49862187	HERMAN		@ReinyAisyah Wa'alaikumussalam Warahmatullahi Wabarakatuh	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/HERMAN49862187/status/1401670993504923648	False		0		Jakarta						[{'screen_name': 'ReinyAisyah', 'name': 'Aisyah }3ocah', 'id': '1350630841689407489'}]				
1401670988153065474	1401485123632041986	2021-06-07 05:43:00 +07	2021-06-07	05:43:00	+0700	105416361	masqiw	iqi		@bitchyJr @Abang_uWu @kdangbrcnda Oh, pantesan betah ga pulang2 samm. 😌	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/masqiw/status/1401670988153065474	False		0		Jakarta						[{'screen_name': 'bitchyJr', 'name': 'Sammy', 'id': '1341756013721001985'}, {'screen_name': 'Abang_uWu', 'name': 'Panggil aja Abang', 'id': '745254800598564864'}, {'screen_name': 'kdangbrcnda', 'name': 'napy', 'id': '1227979912226594816'}]				
1401670986865381376	1401577084334469120	2021-06-07 05:42:59 +07	2021-06-07	05:42:59	+0700	1490366376	feriirawan8888	anton		@jack_cestle Ada info badan kaya gini yg bs di boking semalaman ga bang	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/feriirawan8888/status/1401670986865381376	False		0		Jakarta						[{'screen_name': 'jack_cestle', 'name': 'jack_cestle', 'id': '713633792'}]				
1401670982541090820	1401512478480093185	2021-06-07 05:42:58 +07	2021-06-07	05:42:58	+0700	149289007	budidarm	BudiDarm is		@krisnakrisnoy @ivrouw @kominfomagelang jadi kebayang percakapanan meeting nya 😂 pasti ngeselin banget jadi staff nya kalo gini ga upload kena marah bos upload entar dijadiin kambing item ama bos wkkw.	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/BudiDarm/status/1401670982541090820	False		0		Jakarta						[{'screen_name': 'krisnakrisnoy', 'name': 'Idaman Ibumu.', 'id': '239251885'}, {'screen_name': 'ivrouw', 'name': 'Rengganis', 'id': '954542021808549888'}, {'screen_name': 'kominfomagelang', 'name': 'Diskominfo Kabupaten Magelang', 'id': '965778935723077632'}]				
1401670975008116743	1401627232813010944	2021-06-07 05:42:56 +07	2021-06-07	05:42:56	+0700	2301266796	world_fraction	saminsufi sprite dragon		@MocoGaming  https://t.co/cJPTkaqi1N 😭	und	[]	[]	['https://clips.twitch.tv/CarefulPowerfulSashimiYouWHY-gAllGh4brDapCTaH']	[]	0	0	0	[]	[]	https://twitter.com/world_fraction/status/1401670975008116743	False		0		Jakarta						[{'screen_name': 'MocoGaming', 'name': 'Stuffed ☆ Mushroom', 'id': '866365031105126405'}]				
1401670972713799681	1401408155196690432	2021-06-07 05:42:56 +07	2021-06-07	05:42:56	+0700	1119480133360840704	agungrosidi82	Agung Rosidi		@febridiansyah @lodysiegers Setahu sy dlm lembaga itu adanya kerja bareng, bukan individu.	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/agungrosidi82/status/1401670972713799681	False		0		Jakarta						[{'screen_name': 'febridiansyah', 'name': 'Febri Diansyah', 'id': '1038438863465664512'}, {'screen_name': 'lodysiegers', 'name': 'Lomolomo', 'id': '133205856'}]				
1401670969991696386	1401670969991696386	2021-06-07 05:42:55 +07	2021-06-07	05:42:55	+0700	1193093935	djoem_70	Remahan_rengginang		Banget...	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/djoem_70/status/1401670969991696386	False	https://twitter.com/Innayaputri72/status/1401506532546682884	0		Jakarta						[]				
1401670966971752455	1401646482910941184	2021-06-07 05:42:54 +07	2021-06-07	05:42:54	+0700	341987176	commuterline	KAI Commuter		#RekanCommuters Pantauan saat ini di St. Depok pkl 05:42 WIB flow penumpang terpantau lancar.	in	[]	[]	[]	[]	0	0	0	['rekancommuters']	[]	https://twitter.com/CommuterLine/status/1401670966971752455	False		0		Jakarta						[]				
1401670958881001474	1401670958881001474	2021-06-07 05:42:53 +07	2021-06-07	05:42:53	+0700	1225377049457508352	fitrinatalianst	fitrinatalia.nst		yuk kuat yuk	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/FitrinataliaNst/status/1401670958881001474	False		0		Jakarta						[]				
1401670957459066881	1401646469375950848	2021-06-07 05:42:52 +07	2021-06-07	05:42:52	+0700	341987176	commuterline	KAI Commuter		#RekanCommuters Pantauan saat ini di St. Citayam pkl 05:42 WIB flow penumpang terpantau ramai  - Zona 1 Underpass	in	[]	[]	[]	[]	0	0	0	['rekancommuters']	[]	https://twitter.com/CommuterLine/status/1401670957459066881	False		0		Jakarta						[]				
1401670951192829953	1401616080997556224	2021-06-07 05:42:51 +07	2021-06-07	05:42:51	+0700	41951383	dielamaharanie	D I E L A		@ainslie7 Hehe thanks 💛💛💛	en	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/dielamaharanie/status/1401670951192829953	False		0		Jakarta						[{'screen_name': 'ainslie7', 'name': 'Ainslie Henderson', 'id': '251835119'}]				
1401670949129187329	1401476607236210688	2021-06-07 05:42:50 +07	2021-06-07	05:42:50	+0700	1138089904741576704	anothermatchaaa	@daunkering		@tahuisikentang Btw itu tije nya udah bus gandeng, kamu kapan gandengannya	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/anothermatchaaa/status/1401670949129187329	False		0		Jakarta						[{'screen_name': 'tahuisikentang', 'name': 'bi', 'id': '1276532008894656513'}]				
1401670947883544581	1401646455123701763	2021-06-07 05:42:50 +07	2021-06-07	05:42:50	+0700	341987176	commuterline	KAI Commuter		#RekanCommuters Pantauan saat ini di St. Bojong Gede pkl 05:42 WIB flow penumpang terpantau lancar.	in	[]	[]	[]	[]	0	0	0	['rekancommuters']	[]	https://twitter.com/CommuterLine/status/1401670947883544581	False		0		Jakarta						[]				
1401670947703201794	1401641347040284679	2021-06-07 05:42:50 +07	2021-06-07	05:42:50	+0700	82792687	zhezak	RizalZhezak3		@elonmusk Doge Transaction Speed Much Better Than Tesla Model S Plaid #dogetothemoon	en	[]	[]	[]	[]	0	0	0	['dogetothemoon']	[]	https://twitter.com/zhezak/status/1401670947703201794	False		0		Jakarta						[{'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}]				
1401670947426299904	1401670947426299904	2021-06-07 05:42:50 +07	2021-06-07	05:42:50	+0700	1438912405	keekeewww	Keke		selamat @Rckyuu @tiimarr @Lanavera7 @DenaAww DM no HP ( DANA/Pulsa)	in	[{'screen_name': 'rckyuu', 'name': 'nopnop', 'id': '1112836242'}, {'screen_name': 'tiimarr', 'name': 'manusiakaktus', 'id': '1100414882162257921'}, {'screen_name': 'lanavera7', 'name': 'lanavera', 'id': '1339528406585626624'}, {'screen_name': 'denaaww', 'name': 'dena_aww', 'id': '1389580140565340164'}]	[{'screen_name': 'rckyuu', 'name': 'nopnop', 'id': '1112836242'}, {'screen_name': 'tiimarr', 'name': 'manusiakaktus', 'id': '1100414882162257921'}, {'screen_name': 'lanavera7', 'name': 'lanavera', 'id': '1339528406585626624'}, {'screen_name': 'denaaww', 'name': 'dena_aww', 'id': '1389580140565340164'}]	[]	[]	0	0	0	[]	[]	https://twitter.com/keekeewww/status/1401670947426299904	False	https://twitter.com/keekeewww/status/1401327144756645888	0		Jakarta						[]				
1401670941269106693	1401670941269106693	2021-06-07 05:42:48 +07	2021-06-07	05:42:48	+0700	1091189619985547264	cikarangpolsek	Polsek Cikarang Barat		Anggota Piket Unit Binmas / Bhabinkamtibmas Polsek Cikarang Barat lakukan patroli wilayah  sambangi lingkungan SPBU, Minggu malam 06/6/2021.  #DivHumasPolri #HumasPMJ #HumasPolresMetroBekasi #HumasPolsekCikarangBarat.  https://t.co/xPndF1yhmw	in	[]	[]	[]	['https://pbs.twimg.com/media/E3O8ShyVIAAnmsQ.jpg']	0	0	0	['divhumaspolri', 'humaspmj', 'humaspolresmetrobekasi', 'humaspolsekcikarangbarat']	[]	https://twitter.com/CikarangPolsek/status/1401670941269106693	False		1	https://pbs.twimg.com/media/E3O8ShyVIAAnmsQ.jpg	Jakarta						[]				
1401670940333797378	1401646443530575872	2021-06-07 05:42:48 +07	2021-06-07	05:42:48	+0700	341987176	commuterline	KAI Commuter		#RekanCommuters Pantauan saat ini di St. Cilebut pkl 05:42 WIB flow penumpang terpantau ramai - Zona 1 Underpass - Zona 2 Hall dalam Gate Barat &amp; Hall dalam Gate Timur  https://t.co/1ThmJCoaJY	in	[]	[]	[]	['https://pbs.twimg.com/media/E3O8A15VkAIpXOy.jpg']	0	0	0	['rekancommuters']	[]	https://twitter.com/CommuterLine/status/1401670940333797378	False		1	https://pbs.twimg.com/media/E3O8A15VkAIpXOy.jpg	Jakarta						[]				
1401670929785049089	1401585240464781313	2021-06-07 05:42:46 +07	2021-06-07	05:42:46	+0700	1400880996124225536	ddhpy	des		@dvnsct happy birthday davin!!!	en	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/ddhpy/status/1401670929785049089	False		0		Jakarta						[{'screen_name': 'dvnsct', 'name': 'davin', 'id': '1400103861369462786'}]				
1401670928640053250	1401670928640053250	2021-06-07 05:42:45 +07	2021-06-07	05:42:45	+0700	1278607393098629121	thewokereport	Africa News Network🇨🇫🇿🇦🇧🇴🇨🇲🇬🇭		Iran’s Tasnim News Agency quotes the local governor in the central Kerman province, saying the explosion and fire at the Zarand Steel Plant was caused by a spill of molten material and that no casualties have been reported thus far. |	en	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/TheWokeReport/status/1401670928640053250	False	https://twitter.com/Doranimated/status/1401668257627713542	0		Jakarta						[]				
1401670926530334720	1401669005325131778	2021-06-07 05:42:45 +07	2021-06-07	05:42:45	+0700	1273150495163666434	jayadihjay	Jayadih		@zkif Aamiin YRA 🤲	fi	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/Jayadihjay/status/1401670926530334720	False		0		Jakarta						[{'screen_name': 'zkif', 'name': 'RemBelakang', 'id': '64259505'}]				
1401670925980868611	1401646433082560514	2021-06-07 05:42:45 +07	2021-06-07	05:42:45	+0700	341987176	commuterline	KAI Commuter		#RekanCommuters Pantauan saat ini di St. Bogor pkl 05:42 WIB flow penumpang terpantau lancar.	in	[]	[]	[]	[]	0	0	0	['rekancommuters']	[]	https://twitter.com/CommuterLine/status/1401670925980868611	False		0		Jakarta						[]				
1401670924445831170	1401670924445831170	2021-06-07 05:42:44 +07	2021-06-07	05:42:44	+0700	709793540910370816	aries30374	Konsultan Manajemen		Segera Berakhir  https://t.co/t2NYpjPHDD  https://t.co/Z6xcPUhB70	in	[]	[]	['https://youtu.be/zBqVd61HrE0', 'https://www.instagram.com/p/CPy78wmlyJm/?utm_medium=twitter']	[]	0	0	0	[]	[]	https://twitter.com/aries30374/status/1401670924445831170	False		0		Jakarta						[]				
1401670923380400134	1401670923380400134	2021-06-07 05:42:44 +07	2021-06-07	05:42:44	+0700	1345369887674286081	___harf___	PA_harf		Serunya pelihara pet digital di Shopee Pets! Yuk, main &amp; saling bantu kasih snack #ShopeePets #MintaSnack  https://t.co/kUe0HtGtGJ	in	[]	[]	['https://shp.ee/acdf4n7545g']	[]	0	0	0	['shopeepets', 'mintasnack']	[]	https://twitter.com/___harf___/status/1401670923380400134	False		0		Jakarta						[]				
1401670906179588101	1401668035442733057	2021-06-07 05:42:40 +07	2021-06-07	05:42:40	+0700	562640290	rayhanadityan	aditya		@sweetfloueeeeer siap	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/rayhanadityan/status/1401670906179588101	False		0		Jakarta						[{'screen_name': 'sweetfloueeeeer', 'name': 'bungaaaaaa', 'id': '1134050333003411456'}]				
1401670903969161221	1401670903969161221	2021-06-07 05:42:39 +07	2021-06-07	05:42:39	+0700	436265922	xdh_hh	kaje		anjir jam segini baru ngantuk gua 😭	in	[]	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/xdh_hh/status/1401670903969161221	False		0		Jakarta						[]				
