melaksanakan
melakukan
melanjutkan
melecehkan
melelahkan
melepaskan
meluangkan
melupakan
memaafkan
memajukan
memalukan
memanfaatkan
memanusiakan
memastikan
mematahkan
mematikan
membagongkan
membahagiakan
membahayakan
membalaskan
membanding2kan
membatalkan
membedakan
memberangkatkan
memberikan
membiarkan
membuktikan
membutuhkan
memenangkan
memperlihatkan
mempermalukan
mempersatukan
mempersiapkan
mempertahankan
mempertimbangkan
memprakirakan
memudahkan
memuluskan
memunculkan
memutuskan
menadzarkan
menaklukan
menambahkan
menampilkan
menandakan
mencemaskan
mendapatkan
mendatangkan
mendengarkan
mendirikan
mendpatkan
menegaskan
menemukan
menertibkan
meneruskan
mengabaikan
mengatakan
mengatasnamakan
mengejutkan
mengeluarkan
mengeluhkan
mengelurkan
mengerjakan
menggairahkan
menggemaskan
menggunakan
menghancurkan
menghentikan
menghilangkan
menghinakan
mengibaratkan
mengikhlaskan
mengingatkan
menginginkan
mengirimkan
mengumumkan
menguntungkan
meniatkan
meninggalkan
meningkatkan
menjadikan
menjalankan
mentakdirkan
menunaikan
menunjukan
menunjukkan
menuntaskan
menurunkan
menyadarkan
menyaksikan
menyalah2kan
menyalakan
menyebarkan
menyediakan
menyejukan
menyelasaikan
menyembuhkan
menyenangkan
menyengsarakan
menyesuaikan
menyimpulkan
menyuarakan
merasakan
meresahkan
meributkan
merugikan
meruntuhkan
merupakan
mewakafkan
mewujudkan
